Date,High,Low,Open,Close,Volume,Adj Close
12-04-2006,265.615387,262.8461609,263.8461609,265.0769348,3399682,167.3630829
13-04-2006,264.3076782,258.5384521,263,260.6923218,4896801,164.5947723
17-04-2006,259.6923218,254.384613,259.6923218,256.0769348,4600778,161.6807709
18-04-2006,261.3076782,255.4615326,257.8461609,260.5384521,4334681,164.4976196
19-04-2006,261.3076782,257.6923218,261.1538391,260.6923218,3200795,164.5947723
20-04-2006,262.9230652,258.6923218,260,262.4615479,3300609,165.7118225
21-04-2006,264,259.0769348,263.4615479,261.3076782,3801603,164.9832916
24-04-2006,261.5384521,260,260.0769348,261,2132598,164.7890472
25-04-2006,262,260,261.5384521,261.3076782,2952872,164.9832916
26-04-2006,264.9230652,260.615387,262.0769348,262.5384521,2997254,165.7604065
27-04-2006,266.7692261,260.6923218,260.7692261,264.8461609,3285568,167.217392
28-04-2006,267.5384521,264.2307739,265.3076782,266.0769348,3224455,167.9944916
01-05-2006,267.0769348,264,266.4615479,264.5384521,2314793,167.0230713
02-05-2006,266.0769348,262.3076782,264.5384521,265.2307739,2138305,167.4601746
03-05-2006,266.6923218,263,263.2307739,264.615387,2884076,167.0717163
04-05-2006,268.7692261,265.2307739,265.384613,267.6923218,2840500,169.0143433
05-05-2006,270.9230652,268.2307739,268.7692261,270.4615479,3388060,170.7628021
08-05-2006,271.0769348,269,270,269.2307739,2129036,169.9857483
09-05-2006,270.1538391,268.4615479,268.8461609,269.2307739,2177526,169.9857483
10-05-2006,269.1538391,265.384613,268.7692261,266.9230652,2767050,168.5287323
11-05-2006,266.6923218,262.5384521,265.384613,265.4615479,2962401,167.6059265
12-05-2006,265.6923218,262.9230652,264.4615479,263.6923218,2958553,166.4889221
15-05-2006,266.0769348,262.1538391,262.3076782,265.8461609,2994160,167.8487701
16-05-2006,268.615387,267,267.2307739,267.615387,3040089,168.9658356
17-05-2006,268.0769348,264.615387,266.3076782,264.7692261,3318159,167.1688232
18-05-2006,265.7692261,262.615387,265.3076782,262.6923218,3140592,165.8575134
19-05-2006,265.384613,261.1538391,263.3076782,262.7692261,3901586,165.9060822
22-05-2006,264.3076782,261.6923218,261.9230652,262.0769348,3472235,165.4689789
23-05-2006,263.2307739,260.8461609,262.3076782,261.615387,2898792,165.177536
24-05-2006,264.4615479,259.2307739,259.6923218,263.5384521,3788733,166.3917542
25-05-2006,264.8461609,261.6923218,264.2307739,264.7692261,2618070,167.1688232
26-05-2006,265.615387,262.3076782,265.1538391,264.0769348,2754661,166.7317352
30-05-2006,264.384613,261.615387,264.1538391,261.9230652,2880332,165.3717957
31-05-2006,263.5384521,261.3076782,262.6923218,263.5384521,3935958,166.3917542
01-06-2006,266.3076782,263.2307739,263.8461609,265.7692261,2551276,167.8001709
02-06-2006,267.7692261,265.2307739,266.4615479,266.615387,2751658,168.3344727
05-06-2006,266.3076782,262.9230652,265.7692261,263.2307739,2376998,166.1974182
